,city,country,coord,id,lng,lat,currentDate,currentTemp,currentHumidity,currentClouds,currentWind
391,cleethorpes,gb,"{'lon': -0.03225, 'lat': 53.560471}",2652885,-0.03,53.56,1523722800,57.97,71,20,12.75
392,kiama,au,"{'lon': 150.845718, 'lat': -34.671242}",7839738,150.85,-34.67,1523723400,60.8,51,0,26.4
394,caruray,ph,"{'lon': 119.012802, 'lat': 10.3094}",1718234,119.01,10.31,1523725115,82.28,100,24,9.55
395,pochutla,mx,"{'lon': -96.462593, 'lat': 15.73469}",0,-96.46,15.73,1523725115,83.63,97,0,15.41
396,rondonopolis,br,"{'lon': -54.635559, 'lat': -16.470831}",3450909,-54.64,-16.47,1523725116,89.39,46,20,9.04
397,batagay-alyta,ru,"{'lon': 130.411392, 'lat': 67.80056}",2027042,130.41,67.8,1523725116,0.83,57,0,2.62
398,ampanihy,mg,"{'lon': 44.75, 'lat': -24.700001}",1078553,44.75,-24.7,1523725117,76.79,49,0,12.28
399,mackenzie,ca,"{'lon': -123.1698, 'lat': 55.29985}",6063191,-123.17,55.3,1523721600,35.6,69,90,12.75
400,chihuahua,mx,"{'lon': -106.083328, 'lat': 28.633329}",4014338,-106.08,28.63,1523720400,55.4,12,5,4.7
401,constitucion,mx,"{'lon': -111.6601104, 'lat': 25.0384869}",0,-111.66,25.04,1523724961,83.54,16,0,9.6
402,mata grande,br,"{'lon': -37.73222, 'lat': -9.1175}",3395162,-37.73,-9.12,1523725118,81.47,76,64,7.31
403,cove,bj,"{'lon': 2.34017, 'lat': 7.22097}",2394814,2.34,7.22,1523725119,87.77,57,8,9.1
404,nizhneyansk,ru,"{'lon': 136.1122279, 'lat': 71.450058}",0,136.11,71.45,1523725120,7.04,47,0,6.53
405,ahipara,nz,"{'lon': 173.166672, 'lat': -35.166672}",2194098,173.17,-35.17,1523725120,64.91,95,76,10.38
406,abonnema,ng,"{'lon': 6.7788461, 'lat': 4.7231169}",0,6.78,4.72,1523721600,77.0,94,75,9.17
407,bonavista,ca,"{'lon': -53.114738, 'lat': 48.649891}",5905393,-53.11,48.65,1523725121,37.91,81,92,24.43
408,sovetskiy,ru,"{'lon': 28.677561, 'lat': 60.539452}",490039,28.68,60.54,1523722800,53.6,27,0,3.36
412,serik,tr,"{'lon': 31.09889, 'lat': 36.916939}",301101,31.1,36.92,1523722800,68.0,82,20,2.24
413,mantua,cu,"{'lon': -84.284439, 'lat': 22.288891}",3547930,-84.28,22.29,1523725123,86.96,55,8,11.45
414,ahumada,mx,"{'lon': -106.5137018, 'lat': 30.6149598}",0,-106.51,30.61,1523725123,59.6,11,0,8.25
415,wanning,cn,"{'lon': 110.396667, 'lat': 18.80028}",1791779,110.4,18.8,1523725124,77.6,98,100,4.41
416,killybegs,ie,"{'lon': -8.45, 'lat': 54.633331}",2963295,-8.45,54.63,1523725124,51.95,79,88,16.93
417,saldanha,za,"{'lon': 17.944201, 'lat': -33.011669}",3361934,17.94,-33.01,1523721600,66.2,59,0,14.99
418,katsuura,jp,"{'lon': 140.300003, 'lat': 35.133331}",2112309,140.3,35.13,1523722800,61.84,93,75,6.93
419,chopda,in,"{'lon': 75.300003, 'lat': 21.25}",1273992,75.3,21.25,1523725126,83.9,29,0,9.55
420,georgetown,sh,"{'lon': -14.41667, 'lat': -7.93333}",2411397,-14.42,-7.93,1523721000,86.0,58,20,14.99
421,necochea,ar,"{'lon': -58.736752, 'lat': -38.54726}",3430443,-58.74,-38.55,1523725127,67.25,63,0,15.41
422,tibiri,ne,"{'lon': 7.04848, 'lat': 13.56271}",2438774,7.05,13.56,1523725127,86.87,59,32,0.72
423,cockburn town,tc,"{'lon': -71.141876, 'lat': 21.46122}",3576994,-71.14,21.46,1523724868,78.77,97,48,22.19
424,poum,nc,"{'lon': 164.016663, 'lat': -20.23333}",2138555,164.02,-20.23,1523725128,77.15,100,44,15.93
425,bambous virieux,mu,"{'lon': 57.7575, 'lat': -20.342779}",1106677,57.76,-20.34,1523721600,78.8,74,75,18.34
426,opuwo,na,"{'lon': 13.83998, 'lat': -18.06068}",3354077,13.84,-18.06,1523725129,73.28,68,68,4.41
427,kudahuvadhoo,mv,"{'lon': 72.894371, 'lat': 2.67075}",1337607,72.89,2.67,1523725129,83.18,100,48,4.07
428,salvador,br,"{'lon': -38.50811, 'lat': -12.97177}",6321026,-38.51,-12.97,1523725200,86.0,66,40,10.29
430,marcona,pe,"{'lon': -75.0844757, 'lat': -15.3439659}",0,-75.08,-15.34,1523725130,67.07,86,32,12.35
431,kampot,kh,"{'lon': 104.183327, 'lat': 10.61667}",1831112,104.18,10.62,1523724837,79.94,83,12,5.35
432,tamandare,br,"{'lon': -35.104721, 'lat': -8.75972}",3386931,-35.1,-8.76,1523725131,79.13,97,80,7.25
433,kautokeino,no,"{'lon': 23.04151, 'lat': 69.011513}",779327,23.04,69.01,1523725132,30.17,91,0,4.41
435,lumeje,ao,"{'lon': 20.783331, 'lat': -11.55}",876123,20.78,-11.55,1523725132,67.25,96,80,3.89
436,berlevag,no,"{'lon': 29.0853, 'lat': 70.858093}",780686,29.09,70.86,1523725133,31.97,100,88,7.36
438,clyde river,ca,"{'lon': -68.591431, 'lat': 70.469162}",5924351,-68.59,70.47,1523721600,-0.41,77,1,3.36
439,rumford,us,"{'lon': -70.550903, 'lat': 44.553669}",4977125,-70.55,44.55,1523724720,35.42,40,90,10.29
440,guarapari,br,"{'lon': -40.497501, 'lat': -20.66667}",3461888,-40.5,-20.67,1523721600,84.2,70,20,11.41
441,saleaula,ws,"{'lon': -172.3367114, 'lat': -13.4482906}",0,-172.34,-13.45,1523721600,77.0,94,75,9.6
442,san joaquin,bo,,0,-58.39,-16.38,1523725135,90.47,50,32,7.81
443,moulmeingyun,mm,"{'lon': 95.2606084, 'lat': 16.3838587}",0,95.26,16.38,1523725136,79.31,88,0,7.92
444,srednekolymsk,ru,"{'lon': 153.683334, 'lat': 67.449997}",2121025,153.68,67.45,1523725136,-1.43,81,0,2.33
445,komsomolskiy,ru,"{'lon': 46.698521, 'lat': 43.978329}",545728,46.7,43.98,1523725137,45.92,71,56,0.98
446,waipawa,nz,"{'lon': 175.515274, 'lat': -41.41222}",2206874,175.52,-41.41,1523723400,42.8,87,0,3.36
447,vanimo,pg,"{'lon': 141.302841, 'lat': -2.67408}",2084442,141.3,-2.67,1523725138,80.75,100,44,6.02
448,severo-kurilsk,ru,"{'lon': 156.125, 'lat': 50.67889}",2121385,156.12,50.68,1523725138,30.35,98,48,15.86
449,morondava,mg,"{'lon': 44.283329, 'lat': -20.283331}",1058381,44.28,-20.28,1523725139,76.97,98,20,7.54
450,mana,gf,"{'lon': -53.776901, 'lat': 5.6672}",6690694,-53.78,5.67,1523725139,82.37,70,88,6.02
452,kijaba,az,"{'lon': 48.8131907, 'lat': 38.5327494}",0,48.81,38.53,1523723400,47.01,100,90,16.11
453,fethiye,tr,"{'lon': 29.11639, 'lat': 36.62167}",314967,29.12,36.62,1523722800,71.6,64,0,5.82
454,baruun-urt,mn,"{'lon': 113.279167, 'lat': 46.680561}",2032614,113.28,46.68,1523725141,24.32,59,24,8.1
455,makokou,ga,"{'lon': 12.86419, 'lat': 0.57381}",2399371,12.86,0.57,1523725141,76.97,86,88,2.51
456,vestmanna,fo,"{'lon': -7.16639, 'lat': 62.156391}",2610343,-7.17,62.16,1523723160,46.4,93,75,12.75
457,falealupo,ws,"{'lon': -172.7872919, 'lat': -13.4993052}",0,-172.79,-13.5,1523725142,80.12,100,88,12.84
458,laguna,br,"{'lon': -48.78083, 'lat': -28.4825}",3459094,-48.78,-28.48,1523725143,72.92,98,88,10.89
459,maniitsoq,gl,"{'lon': -52.900002, 'lat': 65.416672}",3421982,-52.9,65.42,1523725143,20.81,100,36,5.91
460,sola,vu,"{'lon': 167.550003, 'lat': -13.88333}",2134814,167.55,-13.88,1523725144,76.43,100,92,13.06
461,petropavl,kz,"{'lon': 69.15054789999999, 'lat': 54.8732209}",0,69.15,54.87,1523725144,23.69,75,0,9.1
462,digras,in,"{'lon': 77.716667, 'lat': 20.116671}",1272596,77.72,20.12,1523725145,82.01,47,92,7.81
463,urumqi,cn,"{'lon': 87.61684799999999, 'lat': 43.825592}",0,87.62,43.83,1523721600,64.4,16,0,11.18
464,vysokogornyy,ru,"{'lon': 139.149994, 'lat': 50.116669}",2013216,139.15,50.12,1523725146,10.64,74,0,2.21
465,upernavik,gl,"{'lon': -56.15485, 'lat': 72.786842}",3418910,-56.15,72.79,1523725146,10.55,100,20,14.58
466,okha,ru,"{'lon': 142.947784, 'lat': 53.573891}",2122614,142.95,53.57,1523725147,11.27,78,24,1.77
467,buala,sb,"{'lon': 159.592117, 'lat': -8.14497}",2109528,159.59,-8.14,1523725147,79.4,100,92,3.4
468,wilmington island,us,"{'lon': -80.973717, 'lat': 32.003551}",4231354,-80.97,32.0,1523722500,78.44,61,1,12.75
469,ruatoria,nz,"{'lon': 178.3194507, 'lat': -37.8927614}",0,178.32,-37.89,1523725148,53.57,100,92,3.33
470,tondano,id,"{'lon': 124.911201, 'lat': 1.3038}",1623424,124.91,1.3,1523723400,77.0,94,20,2.24
471,ahuimanu,us,"{'lon': -157.837784, 'lat': 21.444719}",5856516,-157.84,21.44,1523723400,73.85,88,90,12.75
472,humaita,br,"{'lon': -63.020828, 'lat': -7.50611}",3664078,-63.02,-7.51,1523725149,80.57,85,68,2.73
473,taoudenni,ml,"{'lon': -3.98361, 'lat': 22.678329}",2450173,-3.98,22.68,1523725150,82.55,12,0,7.31
474,balimo,pg,"{'lon': 142.9036317, 'lat': -8.0053888}",0,142.9,-8.01,1523725150,77.87,91,64,1.99
475,znamenskoye,ru,"{'lon': 35.690552, 'lat': 53.27869}",462305,35.69,53.28,1523725151,41.15,59,0,7.14
478,voh,nc,"{'lon': 164.699997, 'lat': -20.966669}",2137748,164.7,-20.97,1523725152,75.53,100,36,14.07
479,tura,ru,"{'lon': 100.25, 'lat': 64.283333}",2014833,100.25,64.28,1523725152,21.89,65,76,6.87
480,murupara,nz,"{'lon': 176.699997, 'lat': -38.466671}",2186338,176.7,-38.47,1523725152,49.25,100,44,2.06
481,la rioja,ar,"{'lon': -66.85067, 'lat': -29.411051}",3848950,-66.85,-29.41,1523725153,66.71,66,0,4.23
482,villamontes,bo,"{'lon': -63.5, 'lat': -21.25}",3901547,-63.5,-21.25,1523721600,66.2,77,90,3.36
483,batticaloa,lk,"{'lon': 81.692398, 'lat': 7.7102}",1250161,81.69,7.71,1523725154,81.83,100,12,5.75
484,anloga,gh,"{'lon': 0.8972800000000001, 'lat': 5.79473}",2304548,0.9,5.79,1523721600,86.0,74,20,16.11
485,horasan,tr,"{'lon': 42.172779, 'lat': 40.04583}",745527,42.17,40.05,1523725156,33.77,65,0,3.85
486,haibowan,cn,"{'lon': 106.822778, 'lat': 39.691156}",0,106.82,39.69,1523725157,29.45,44,48,3.62
487,chokurdakh,ru,"{'lon': 147.916672, 'lat': 70.633331}",2126123,147.92,70.63,1523725157,-2.24,48,0,6.91
